occ_code,occupation_title,major_group_code,major_group_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,adoption_gap_absolute,observed_to_theoretical_ratio,underadoption_ratio,total_employment,annual_mean_wage,job_zone,digital_information_index,interpersonal_index,physical_index,decision_index,compliance_index
13-2072,Loan Officers,13,Business and Financial Operations,0.1857,0.9772727272727272,0.9545454545454546,0.7915727272727272,0.19001860465116283,0.8099813953488372,340170.0,80570.0,4,4.1866666666666665,4.3525,1.492,4.573333333333333,4.555
13-1081,Logisticians,13,Business and Financial Operations,0.1571,0.9696969696969697,0.8425566489121602,0.8125969696969697,0.16200937499999998,0.837990625,189320.0,79230.0,4,4.475,3.9133333333333336,2.0193333333333334,3.7744444444444447,4.068333333333333
13-1111,Management Analysts,13,Business and Financial Operations,0.2435,0.7142857142857142,0.8095238095238095,0.4707857142857142,0.34090000000000004,0.6591,768450.0,100530.0,4,4.993333333333334,3.8649999999999998,1.7100000000000002,3.996666666666666,4.3
13-1161,Market Research Analysts and Marketing Specialists,13,Business and Financial Operations,0.6483,1.0,0.9615384615384617,0.3517,0.6483,0.3517,727540.0,76080.0,4,4.8,3.3274999999999997,1.0530000000000002,3.813333333333333,3.785
13-1121,"Meeting, Convention, and Event Planners",13,Business and Financial Operations,0.1023,0.8648648648648649,0.6486486486486487,0.7625648648648649,0.118284375,0.881715625,98150.0,57850.0,4,3.963333333333333,4.5975,3.124,4.446666666666666,3.42
13-2052,Personal Financial Advisors,13,Business and Financial Operations,0.3504,0.9473684210526316,0.9473684210526316,0.5969684210526316,0.3698666666666666,0.6301333333333334,263030.0,119960.0,4,4.868333333333333,3.5824999999999996,0.876,4.103333333333334,4.52
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13,Business and Financial Operations,0.0275,0.967741935483871,0.9032258064516128,0.940241935483871,0.028416666666666666,0.9715833333333334,52270.0,63200.0,3,3.94,4.0575,1.452,4.123333333333334,4.825
13-2082,Tax Preparers,13,Business and Financial Operations,0.1283,1.0,1.0,0.8717,0.1283,0.8717,83190.0,51080.0,3,4.706666666666666,3.5925,1.3239999999999998,3.7300000000000004,4.925000000000001
13-1151,Training and Development Specialists,13,Business and Financial Operations,0.2793,1.0,0.763157894736842,0.7207,0.2793,0.7207,336030.0,67620.0,4,4.326666666666667,3.8699999999999997,1.888,3.5233333333333334,3.455
15-2011,Actuaries,15,Computer and Mathematical,0.0539,1.0,0.8518518518518519,0.9460999999999999,0.0539,0.9460999999999999,23040.0,125300.0,4,5.216666666666667,3.38,0.9339999999999999,3.633333333333333,4.59
15-1241,Computer Network Architects,15,Computer and Mathematical,0.1987,0.9155585106382979,0.8573803191489362,0.7168585106382979,0.21702599854756716,0.7829740014524329,168830.0,120650.0,4,4.551666666666667,3.8199999999999994,2.398,3.641666666666667,4.3125
15-1231,Computer Network Support Specialists,15,Computer and Mathematical,0.2867,0.8076923076923077,0.8461538461538463,0.5209923076923078,0.35496190476190476,0.6450380952380952,176200.0,71350.0,4,3.9,4.0575,2.356,3.8499999999999996,3.995
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.3106,0.994949494949495,0.9165429447043542,0.684349494949495,0.31217664974619286,0.6878233502538071,370190.0,98180.0,4,4.720555555555555,3.53375,1.7553333333333334,3.6799999999999997,4.2675
15-1251,Computer Programmers,15,Computer and Mathematical,0.7451,1.0,0.9333333333333332,0.2549,0.7451,0.2549,152610.0,96650.0,4,5.026666666666667,3.3925,1.2080000000000002,2.966666666666667,4.1
15-1211,Computer Systems Analysts,15,Computer and Mathematical,0.2763,0.9407308377896613,0.8663101604278075,0.6644308377896613,0.2937078162008527,0.7062921837991474,505150.0,102210.0,4,4.706666666666667,3.72,1.8829999999999998,3.688333333333334,4.6075
15-1232,Computer User Support Specialists,15,Computer and Mathematical,0.4685,0.7777777777777777,0.8518518518518519,0.30927777777777765,0.6023571428571429,0.3976428571428571,654310.0,57650.0,3,4.471666666666667,3.4800000000000004,2.29,3.9633333333333334,3.815
15-1221,Computer and Information Research Scientists,15,Computer and Mathematical,0.3404,0.8846153846153847,0.7692307692307693,0.5442153846153848,0.3847999999999999,0.6152000000000001,30840.0,142650.0,5,5.668333333333333,3.7725,1.416,3.5399999999999996,4.1850000000000005
15-2051,Data Scientists,15,Computer and Mathematical,0.4605,1.0,0.8756313131313131,0.5395,0.4605,0.5395,105980.0,108660.0,4,5.033333333333334,3.28625,0.9650000000000001,3.485,4.3475
15-1242,Database Administrators,15,Computer and Mathematical,0.3315,1.0,0.9032258064516128,0.6685,0.3315,0.6685,85870.0,96550.0,4,4.955000000000001,2.96,1.388,3.896666666666667,4.48
15-1243,Database Architects,15,Computer and Mathematical,0.5787,1.0,0.975609756097561,0.4213,0.5787,0.4213,50440.0,121840.0,4,5.198333333333333,3.19625,0.944,3.56,4.2975
15-1212,Information Security Analysts,15,Computer and Mathematical,0.4859,0.9565217391304348,1.0,0.4706217391304348,0.5079863636363636,0.4920136363636364,157220.0,113270.0,4,4.76,3.68,1.9259999999999997,3.606666666666667,4.625
15-2099,"Mathematical Science Occupations, All Other",15,Computer and Mathematical,0.4793,0.9666666666666668,0.9666666666666668,0.4873666666666668,0.4958275862068965,0.5041724137931035,3970.0,77960.0,4,5.665,3.5749999999999997,1.3719999999999999,3.203333333333333,4.05
15-2021,Mathematicians,15,Computer and Mathematical,0.4241,1.0,1.0,0.5759000000000001,0.4241,0.5759000000000001,1770.0,112430.0,5,5.416666666666667,3.0275,1.2399999999999998,3.15,3.5999999999999996
15-1244,Network and Computer Systems Administrators,15,Computer and Mathematical,0.3373,0.918918918918919,0.8648648648648649,0.5816189189189189,0.3670617647058823,0.6329382352941177,316760.0,91250.0,4,4.406666666666667,3.48,2.136,3.486666666666667,3.6950000000000003
15-2031,Operations Research Analysts,15,Computer and Mathematical,0.4288,1.0,1.0,0.5711999999999999,0.4288,0.5711999999999999,98700.0,95830.0,5,5.338333333333334,3.155,1.322,3.41,3.715
15-1252,Software Developers,15,Computer and Mathematical,0.288,0.9473684210526316,0.8421052631578947,0.6593684210526316,0.30399999999999994,0.6960000000000001,1364180.0,120990.0,4,4.361666666666667,2.63,1.026,3.0799999999999996,4.34
15-1253,Software Quality Assurance Analysts and Testers,15,Computer and Mathematical,0.5195,0.9473684210526316,0.912280701754386,0.4278684210526317,0.5483611111111111,0.4516388888888889,190120.0,97710.0,4,4.704999999999999,3.4750000000000005,1.1720000000000002,3.56,4.545
15-2041,Statisticians,15,Computer and Mathematical,0.2107,1.0,0.9136842105263159,0.7893,0.2107,0.7893,31370.0,99450.0,5,5.318333333333333,3.24125,1.093,3.518333333333333,4.1825
15-1254,Web Developers,15,Computer and Mathematical,0.4802,1.0,0.9615384615384616,0.5198,0.4802,0.5198,84820.0,81320.0,3,4.286666666666666,3.3550000000000004,1.068,3.723333333333333,4.02
15-1255,Web and Digital Interface Designers,15,Computer and Mathematical,0.249,1.0,1.0,0.751,0.249,0.751,82380.0,95460.0,4,4.364999999999999,3.4375,0.97,3.516666666666667,3.0250000000000004
17-3021,Aerospace Engineering and Operations Technologists and Technicians,17,Architecture and Engineering,0.0,0.55,0.45,0.55,0.0,1.0,10900.0,73510.0,3,4.3549999999999995,3.8725,2.6959999999999997,4.233333333333333,4.5600000000000005
17-2011,Aerospace Engineers,17,Architecture and Engineering,0.0753,0.9285714285714284,0.8928571428571428,0.8532714285714283,0.08109230769230771,0.9189076923076923,56640.0,122970.0,4,5.483333333333333,3.895,2.0,3.5833333333333335,4.105
17-2021,Agricultural Engineers,17,Architecture and Engineering,0.0,0.7777777777777777,0.6666666666666666,0.7777777777777777,0.0,1.0,1120.0,87350.0,4,5.409999999999999,3.5375,2.99,3.483333333333333,4.85
17-1011,"Architects, Except Landscape and Naval",17,Architecture and Engineering,0.0784,0.9069767441860463,0.6976744186046512,0.8285767441860463,0.08644102564102565,0.9135589743589744,100400.0,91900.0,5,4.316666666666666,3.985,2.34,3.58,4.12
17-3011,Architectural and Civil Drafters,17,Architecture and Engineering,0.0,0.96,0.86,0.96,0.0,1.0,101310.0,60620.0,3,3.885,3.7125,1.722,3.4233333333333333,4.475
17-2031,Bioengineers and Biomedical Engineers,17,Architecture and Engineering,0.1328,0.9487179487179488,0.8205128205128205,0.8159179487179488,0.13997837837837837,0.8600216216216217,17190.0,101020.0,4,5.398333333333333,3.435,2.062,3.42,4.545
17-1021,Cartographers and Photogrammetrists,17,Architecture and Engineering,0.08,1.0,0.84,0.92,0.08,0.92,12610.0,73510.0,4,4.206666666666667,4.0425,1.518,3.733333333333333,4.615
17-2041,Chemical Engineers,17,Architecture and Engineering,0.0,0.8461538461538463,0.6153846153846154,0.8461538461538463,0.0,1.0,24180.0,121840.0,4,4.93,3.4899999999999998,2.2620000000000005,3.736666666666667,4.4350000000000005
17-3022,Civil Engineering Technologists and Technicians,17,Architecture and Engineering,0.0776,1.0,0.6818181818181819,0.9224,0.0776,0.9224,64170.0,58000.0,3,3.765,4.1899999999999995,2.3739999999999997,3.78,4.07
17-2051,Civil Engineers,17,Architecture and Engineering,0.0081,0.9086580086580086,0.7372294372294372,0.9005580086580086,0.008914244878513578,0.9910857551214864,304310.0,95490.0,4,4.507777777777777,3.8608333333333333,2.083333333333333,3.7688888888888887,4.5
17-2061,Computer Hardware Engineers,17,Architecture and Engineering,0.1453,0.9090909090909092,0.4545454545454546,0.7637909090909092,0.15983,0.84017,73750.0,136230.0,4,5.476666666666667,3.4575,1.64,3.3733333333333335,4.775
17-2071,Electrical Engineers,17,Architecture and Engineering,0.059,0.84375,0.65625,0.7847500000000001,0.06992592592592592,0.930074074074074,186020.0,107890.0,4,5.1850000000000005,3.8374999999999995,2.568,4.203333333333333,4.6899999999999995
17-3023,Electrical and Electronic Engineering Technologists and Technicians,17,Architecture and Engineering,0.0202,0.6226415094339622,0.5660377358490566,0.6024415094339622,0.032442424242424245,0.9675575757575757,101450.0,69070.0,3,4.2283333333333335,3.7024999999999997,2.944,3.943333333333333,4.369999999999999
17-3012,Electrical and Electronics Drafters,17,Architecture and Engineering,0.0889,0.9574468085106382,0.7234042553191489,0.8685468085106383,0.09285111111111112,0.9071488888888889,20830.0,67090.0,3,3.7416666666666667,3.68,1.7939999999999998,3.5400000000000005,4.27
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,17,Architecture and Engineering,0.0,0.5182926829268293,0.3934531450577663,0.5182926829268293,0.0,1.0,11590.0,63880.0,3,4.023333333333334,3.7224999999999997,3.318,3.7100000000000004,4.375
17-2072,"Electronics Engineers, Except Computer",17,Architecture and Engineering,0.0999,0.8788515406162465,0.6715686274509804,0.7789515406162465,0.11367107569721116,0.8863289243027889,107170.0,115490.0,4,4.6691666666666665,3.6174999999999997,2.054,3.748333333333333,4.2075
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",17,Architecture and Engineering,0.0,0.4819923371647509,0.47586206896551725,0.4819923371647509,0.0,1.0,73600.0,68290.0,2,4.269166666666667,3.7712499999999998,3.535,3.778333333333333,4.6025
17-2199,"Engineers, All Other",17,Architecture and Engineering,0.0659,0.8478464810043758,0.6861205356118707,0.7819464810043758,0.07772633545867119,0.9222736645413288,151940.0,107800.0,4,4.615833333333334,3.6731249999999998,2.37875,3.72125,4.218125000000001
17-3025,Environmental Engineering Technologists and Technicians,17,Architecture and Engineering,0.1029,0.7105263157894737,0.631578947368421,0.6076263157894737,0.14482222222222224,0.8551777777777778,14910.0,56590.0,4,3.5933333333333337,3.8925,3.0900000000000003,3.7433333333333336,4.025
17-2081,Environmental Engineers,17,Architecture and Engineering,0.0358,0.9814814814814814,0.7592592592592592,0.9456814814814813,0.03647547169811321,0.9635245283018868,42660.0,100220.0,4,4.941666666666666,3.8549999999999995,2.7120000000000006,3.61,4.525
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17,Architecture and Engineering,0.0,0.91,0.6661538461538461,0.91,0.0,1.0,22870.0,99700.0,4,4.665,3.8025,2.657,3.926666666666667,4.625
17-3026,Industrial Engineering Technologists and Technicians,17,Architecture and Engineering,0.0,0.66548463356974,0.5682624113475176,0.66548463356974,0.0,1.0,62030.0,61230.0,4,4.173333333333333,3.8287499999999994,2.802,3.921666666666667,4.0249999999999995
17-2112,Industrial Engineers,17,Architecture and Engineering,0.0367,0.9249138804457954,0.7458827920865995,0.8882138804457954,0.03967936991313302,0.960320630086867,293950.0,95200.0,4,4.614583333333333,3.86625,2.5124999999999997,3.7416666666666667,4.355
17-1012,Landscape Architects,17,Architecture and Engineering,0.0,0.8421052631578947,0.6842105263157894,0.8421052631578947,0.0,1.0,17430.0,74980.0,4,3.608333333333333,3.7800000000000002,2.2199999999999998,3.483333333333333,4.025
17-2121,Marine Engineers and Naval Architects,17,Architecture and Engineering,0.0358,0.7368421052631579,0.5438596491228069,0.7010421052631579,0.04858571428571429,0.9514142857142858,7380.0,97820.0,4,4.596666666666667,3.7800000000000002,3.118,3.65,4.75
17-2131,Materials Engineers,17,Architecture and Engineering,0.0,0.8292682926829269,0.4878048780487805,0.8292682926829269,0.0,1.0,21530.0,101950.0,4,5.133333333333334,3.6099999999999994,2.348,3.513333333333333,4.275
17-3013,Mechanical Drafters,17,Architecture and Engineering,0.0,0.9310344827586208,0.8620689655172413,0.9310344827586208,0.0,1.0,47760.0,62650.0,3,3.7183333333333337,3.4975,1.802,3.6933333333333334,4.105
17-3027,Mechanical Engineering Technologists and Technicians,17,Architecture and Engineering,0.0683,0.6479591836734693,0.4625850340136054,0.5796591836734692,0.10540787401574805,0.894592125984252,40180.0,63390.0,3,4.026666666666666,3.9487500000000004,3.351,3.6916666666666664,3.9425
17-2141,Mechanical Engineers,17,Architecture and Engineering,0.0813,0.8564037087703298,0.6948046815625476,0.7751037087703297,0.09493186352115976,0.9050681364788402,278240.0,97000.0,4,4.74,3.6791666666666663,2.4033333333333333,3.44,4.326666666666666
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17,Architecture and Engineering,0.0,0.8518518518518519,0.5925925925925926,0.8518518518518519,0.0,1.0,7370.0,100450.0,4,4.8116666666666665,3.5700000000000003,2.6119999999999997,3.893333333333333,4.53
17-2161,Nuclear Engineers,17,Architecture and Engineering,0.0,0.8500000000000001,0.7000000000000001,0.8500000000000001,0.0,1.0,12670.0,121760.0,4,5.288333333333333,3.3125,2.038,3.4333333333333336,5.145
17-2171,Petroleum Engineers,17,Architecture and Engineering,0.0,0.8888888888888888,0.7777777777777777,0.8888888888888888,0.0,1.0,22100.0,145720.0,4,4.89,3.7225000000000006,1.6800000000000002,3.9433333333333334,4.015
17-3031,Surveying and Mapping Technicians,17,Architecture and Engineering,0.0,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.0,1.0,56070.0,49810.0,3,3.89,3.6725000000000003,2.992,3.89,4.09
17-1022,Surveyors,17,Architecture and Engineering,0.0022,0.8708333333333333,0.6791666666666667,0.8686333333333334,0.0025263157894736842,0.9974736842105263,46390.0,68880.0,4,4.97,3.8025,3.688,3.7950000000000004,4.885
19-4012,Agricultural Technicians,19,"Life, Physical, and Social Science",0.0058,0.6767676767676768,0.49747474747474746,0.6709676767676768,0.008570149253731342,0.9914298507462687,13560.0,44850.0,3,3.6533333333333338,3.8550000000000004,3.710000000000001,3.5883333333333334,3.7600000000000002
19-1011,Animal Scientists,19,"Life, Physical, and Social Science",0.0,0.9375,0.9375,0.9375,0.0,1.0,2790.0,80390.0,5,5.296666666666666,3.7875,2.9059999999999997,4.026666666666666,4.345
