occ_code,occupation_title,major_group_code,major_group_title,observed_exposure,theoretical_exposure,human_theoretical_exposure,adoption_gap_absolute,observed_to_theoretical_ratio,underadoption_ratio,total_employment,annual_mean_wage,job_zone,digital_information_index,interpersonal_index,physical_index,decision_index,compliance_index,log_total_employment,log_annual_mean_wage,digital_information_index_z,interpersonal_index_z,physical_index_z,decision_index_z,compliance_index_z,job_zone_factor,regression_weight
11-9161,Emergency Management Directors,11,Management,0,0.8444444444444444,0.8,0.8444444444444444,0,1,10320,84800,4,4.485,4.005,2.9560000000000004,3.7466666666666666,4.07,9.241935933565934,11.348050821779994,0.9136286337647451,0.16281676197012995,0.04627872139744803,-0.3379143518356687,0.3307637957777877,4,10320
11-3013,Facilities Managers,11,Management,0.1345,0.7646103896103895,0.637987012987013,0.6301103896103895,0.17590658174097668,0.8240934182590234,101230,101970,4,4.333333333333333,4.16125,3.2079999999999997,4.136666666666667,4.2,11.525160313038523,11.532433931358272,0.7540663400498409,0.5211275222277917,0.29233896798905795,0.575098885250051,0.5618207816255,4,101230
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11,Management,0,0.6938775510204082,0.3877551020408163,0.6938775510204082,0,1,5220,78440,4,3.6283333333333334,3.9025,4.016,4.06,3.4400000000000004,8.560444233410552,11.270089280310282,0.012364689045399389,-0.07223509675889621,1.0812940443621588,0.3956176506092675,-0.788973904868819,4,5220
11-3031,Financial Managers,11,Management,0.3907,0.9701104613385316,0.7861412791237351,0.5794104613385316,0.40273764233087744,0.5972623576691225,681070,153460,4,4.7,3.755,1.1853333333333331,4.301111111111111,4.458333333333334,13.431421838140581,11.941195225731656,1.1398213358441138,-0.4104804544421288,-1.682652535076938,0.960073127667961,1.0209724842715961,4,681070
11-9051,Food Service Managers,11,Management,0,0.7708333333333333,0.6041666666666666,0.7708333333333333,0,1,210680,63970,2,2.813333333333333,4.63,3.71,4.436666666666667,3.58,12.25810042012109,11.066169502444183,-0.8450634606973246,1.5960598030007769,0.7825066020723459,1.2774167599313753,-0.5401433047251292,2,210680
11-9171,Funeral Home Managers,11,Management,0.0108,0.7142857142857142,0.7857142857142857,0.7034857142857142,0.01512,0.98488,12710,82900,3,4.178333333333334,4.69,3.94,4.486666666666667,4.539999999999999,9.450223039294668,11.325390341123386,0.5909971827368082,1.7336511349397201,1.0070853985646888,1.3944697390449285,1.1661236676887463,3,12710
11-9071,Gambling Managers,11,Management,0,0.8235294117647058,0.7058823529411764,0.8235294117647058,0,1,3660,89190,2,3.4466666666666668,4.535,2.616,4.433333333333334,4.325,8.205491613120236,11.398524204660253,-0.1787593770526719,1.3782068607641191,-0.2857073255912332,1.2696132279904704,0.7839909603252236,2,3660
11-1021,General and Operations Managers,11,Management,0.1378,0.9615384615384616,0.6538461538461539,0.8237384615384615,0.143312,0.856688,2984920,115250,4,3.818333333333334,4.295,2.622,4.753333333333334,3.865,14.909083838796976,11.654858960858896,0.2122559141387955,0.8278415330083502,-0.27984874829143314,2.018752294317215,-0.03359529728975916,4,2984920
11-3121,Human Resources Managers,11,Management,0,0.92,0.76,0.92,0,1,166530,136590,4,4.44,3.93,1.852,4.153333333333333,4.635,12.022936757258325,11.824739016996938,0.8662859751899936,-0.009172402953547057,-1.0316995017657986,0.6141165449545688,1.3349730035005374,4,166530
11-3051,Industrial Production Managers,11,Management,0.0132,0.7406923003621116,0.5285008099866589,0.7274923003621117,0.01782116540639986,0.9821788345936,192270,117780,4,4.198055555555556,3.99,3.038333333333333,4.417777777777778,4.286666666666667,12.166661114172257,11.676573756498561,0.6117461256924097,0.12841892898539517,0.1266714210113731,1.2331967455995876,0.7158587721906421,4,192270
11-9081,Lodging Managers,11,Management,0.1215,0.8695652173913043,0.5,0.7480652173913043,0.139725,0.860275,35920,67770,4,3.705,4.295,2.5899999999999994,4.53,3.729999999999999,10.489077361672273,11.12387489813016,0.09302255180238361,0.8278415330083502,-0.3110944938903683,1.4959156542766745,-0.27353909028546264,4,35920
11-9199,"Managers, All Other",11,Management,0.0686,0.91125694749159,0.7128180094733407,0.8426569474915899,0.07528063318346674,0.9247193668165332,497890,129710,4,4.341388888888889,3.885416666666667,2.4266666666666667,4.05,4.479166666666666,13.118136456548044,11.773056468334719,0.7625412604119882,-0.11141040654706623,-0.4705779870515967,0.37220705478655725,1.0580008473882148,4,497890
11-2021,Marketing Managers,11,Management,0.3195,0.9375,0.9375,0.618,0.3408,0.6592,278690,153440,4,3.595,4.1275,1.458,4.223333333333334,3.19,12.537858920160673,11.941064890117266,-0.022703946935897976,0.4437323980121379,-1.416412744452682,0.7779907157135447,-1.2333142622682671,4,278690
11-9111,Medical and Health Services Managers,11,Management,0.0659,0.8571428571428571,0.6285714285714286,0.7912428571428571,0.07688333333333333,0.9231166666666668,436770,119840,4,4.678333333333334,4.125,1.9479999999999995,3.716666666666667,4.645,12.987164309267397,11.693912798751047,1.1170267224562707,0.4379994258480144,-0.9379622649689952,-0.40814613930380056,1.352746617796515,4,436770
11-9121,Natural Sciences Managers,11,Management,0.0613,0.9498415323136284,0.7286160488723531,0.8885415323136283,0.06453708109676483,0.9354629189032352,74760,156110,4,4.696111111111111,3.841666666666667,2.2213333333333334,3.788888888888889,4.523333333333333,11.22205163761701,11.958316165950713,1.1357299949796285,-0.21173741941921193,-0.6710715213114276,-0.23906961391755577,1.1365009771954515,4,74760
11-9179,"Personal Service Managers, All Other",11,Management,0.1244,0.7417184265010353,0.5357142857142857,0.6173184265010353,0.1677186322400558,0.8322813677599442,7350,59580,4,3.3516666666666666,4.45125,2.9690000000000003,4.071666666666666,3.575,8.902591637374087,10.995075226267273,-0.27870498959936996,1.186152293266012,0.058972305547015144,0.42293001240243017,-0.549030111873118,4,7350
11-9131,Postmasters and Mail Superintendents,11,Management,0,0.9047619047619048,0.6666666666666666,0.9047619047619048,0,1,12750,81820,2,3.76,4.4125,2.9160000000000004,4.21,4.17,9.453364978883542,11.31227699148339,0.15088580117152417,1.0972912247221112,0.007221539398779651,0.7467765879499296,0.5084999387375659,2,12750
11-9141,"Property, Real Estate, and Community Association Managers",11,Management,0.1653,0.8863636363636364,0.6590909090909091,0.7210636363636364,0.1864923076923077,0.8135076923076923,234680,70030,4,3.65,4.0975,2.1,4.083333333333333,3.79,12.365982424152245,11.156679000649563,0.035159302433242584,0.37493673204266625,-0.7895449733740548,0.4502423741955928,-0.16689740450959362,4,234680
11-3061,Purchasing Managers,11,Management,0.2004,0.9428571428571428,0.8285714285714285,0.7424571428571428,0.21254545454545457,0.7874545454545454,69310,134590,4,3.965,3.9300000000000006,1.6619999999999997,3.8766666666666665,4.1850000000000005,11.146358902740426,11.80998839922776,0.3665579124565038,-0.009172402953546039,-1.2172211162594737,-0.03357660614042917,0.5351603601815338,4,69310
11-2022,Sales Managers,11,Management,0.0433,0.9,0.8666666666666667,0.8567,0.0481111111111111,0.9518888888888888,453800,142390,4,4.095,4.380000000000001,1.502,4.163333333333333,3.57,13.025414054939377,11.86632505077504,0.5033255927835639,1.0227625865885202,-1.3734498442541467,0.637527140777279,-0.5579169190211075,4,453800
11-9151,Social and Community Service Managers,11,Management,0.1808,0.7142857142857142,0.6428571428571428,0.5334857142857142,0.25312,0.74688,156400,76790,4,3.9683333333333337,4.08,1.946,4.34,4.015000000000001,11.9601785009348,11.248829702324588,0.3700647760546341,0.334805926893808,-0.9399151240689281,1.0511143336451692,0.2330089171499098,4,156400
11-3131,Training and Development Managers,11,Management,0.3777,0.9090909090909092,0.9090909090909092,0.5313909090909092,0.4154699999999999,0.58453,35830,128800,4,4.53,3.65,1.586,3.546666666666667,3.895000000000001,10.486568719482518,11.766016092652391,0.9609712923394966,-0.6512652853352774,-1.291429762056943,-0.8061262682898832,0.019725545598175742,4,35830
11-3071,"Transportation, Storage, and Distribution Managers",11,Management,0.0956,0.9551948051948052,0.7839285714285713,0.8595948051948051,0.10008429639700885,0.8999157036029911,144640,105580,4,4.149166666666666,4.03125,2.4200000000000004,3.983333333333333,4.1025,11.882010089318918,11.567224238377607,0.5603121262531718,0.22301296969341738,-0.47708751738470784,0.21613641596848507,0.3885280422397154,4,144640
13-2011,Accountants and Auditors,13,Business and Financial Operations,0.3478,1,0.84,0.6522,0.3478,0.6522,1318550,83980,4,4.753333333333333,3.9625,1.4300000000000002,4.113333333333333,4.875,14.092043964345958,11.338333954238184,1.1959311534141892,0.065356235180046,-1.4437527718517496,0.5204741616637256,1.7615397466040073,4,1318550
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13,Business and Financial Operations,0.118,0.9130434782608696,0.4347826086956521,0.7950434782608696,0.12923809523809524,0.8707619047619047,12480,116410,4,3.1300000000000003,3.7575,1.372,4.313333333333333,3.315,9.431962766918454,11.664873721242287,-0.5119114188749978,-0.40474748227800633,-1.5003856857498188,0.9886860781179391,-1.0111440835685435,4,12480
13-2031,Budget Analysts,13,Business and Financial Operations,0.0672,0.96,0.96,0.8927999999999999,0.06999999999999999,0.93,47440,84240,4,4.2,3.755,1.4,4.326666666666667,4.165,10.767242112707454,11.341425146807858,0.6137917961246514,-0.4104804544421288,-1.473045658350751,1.0199002058815563,0.49961313158957715,4,47440
13-1199,"Business Operations Specialists, All Other",13,Business and Financial Operations,0.1846,0.9415292353823088,0.8098616197127917,0.7569292353823088,0.1960640127388535,0.8039359872611465,1030330,79240,4,4.408333333333333,3.77375,1.926,3.784166666666667,3.9725,13.845390667804304,11.280236500812487,0.8329707710077604,-0.3674831632112088,-0.9594437150682623,-0.25012461750050213,0.157471056392003,4,1030330
13-1031,"Claims Adjusters, Examiners, and Investigators",13,Business and Financial Operations,0.0818,0.96,0.8,0.8782,0.08520833333333333,0.9147916666666668,278140,70960,4,4.115000000000001,4.045,1.496,4.63,4.475,12.535883458337853,11.16987161698346,0.5243667743723438,0.25454431659609145,-1.379308421553947,1.7300216125037813,1.050595174764891,4,278140
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13,Business and Financial Operations,0.0649,0.8684210526315789,0.631578947368421,0.8035210526315789,0.07473333333333335,0.9252666666666668,87750,73810,4,4.4350000000000005,3.7025,1.396,3.953333333333333,4.74,11.382258537274573,11.209249502764099,0.8610256797927991,-0.5308728698887026,-1.476951376550618,0.14590462850035327,1.5215959536083061,4,87750
13-1041,Compliance Officers,13,Business and Financial Operations,0.1211,0.8183125008857741,0.7157245309581854,0.6972125008857741,0.14798747406267962,0.8520125259373204,334340,75810,4,4.345238095238095,4.152142857142858,2.396,3.868571428571428,4.575,12.719916709219428,11.23598548905035,0.7665908529003043,0.5002431236299177,-0.5005218265839093,-0.05252804085405334,1.2283313177246709,4,334340
13-1051,Cost Estimators,13,Business and Financial Operations,0,1,0.8076923076923077,1,0,1,208950,73740,4,4.778333333333333,3.415,1.376,3.696666666666667,4,12.249855053698541,11.208300671788136,1.2222326304001627,-1.1901646687628005,-1.496479967549952,-0.45496733094922104,0.20634849570594196,4,208950
13-2041,Credit Analysts,13,Business and Financial Operations,0.1685,1,0.8888888888888888,0.8315,0.1685,0.8315,68770,88030,4,4.333333333333333,3.3949999999999996,0.988,3.6,4.125,11.138537423432531,11.385432944454951,0.7540663400498409,-1.2360284460757822,-1.8753346329370348,-0.681269757235426,0.42851867440566555,4,68770
13-2071,Credit Counselors,13,Business and Financial Operations,0.2341,0.9772727272727272,0.931818181818182,0.7431727272727272,0.23954418604651165,0.7604558139534884,31230,50430,4,3.693333333333334,3.625,1.298,4.253333333333333,3.72,10.349166470257595,10.828341515070772,0.0807485292089299,-0.7085950069765031,-1.5726414724473552,0.8482225031816755,-0.29131270458143854,4,31230
13-1074,Farm Labor Contractors,13,Business and Financial Operations,0,0.2857142857142857,0,0.2857142857142857,0,1,440,54400,2,2.2483333333333335,3.8125,3.0540000000000003,4.296666666666667,3.72,6.089044875446846,10.904119432844034,-1.4394768405803167,-0.27862209466730903,0.14196881729418534,0.9496684184134234,-0.29131270458143854,2,440
13-2061,Financial Examiners,13,Business and Financial Operations,0.0428,0.9393939393939394,0.8484848484848485,0.8965939393939395,0.04556129032258064,0.9544387096774194,60750,96180,4,4.638333333333334,4.010000000000001,1.062,3.68,4.715,11.014538821972666,11.473976714831654,1.0749443592787136,0.17428270629837692,-1.8030788462394984,-0.49398499065373985,1.4771619178683606,4,60750
13-2099,"Financial Specialists, All Other",13,Business and Financial Operations,0.2202,0.931818181818182,0.931818181818182,0.7116181818181819,0.2363121951219512,0.7636878048780488,123200,80370,4,5.013333333333333,3.50875,1.5189999999999997,3.9616666666666673,4.3225,11.72157244693173,11.294396251206765,1.4694665140683094,-0.9751782126082034,-1.356850541904713,0.16541345835261423,0.7795475567512284,4,123200
13-1131,Fundraisers,13,Business and Financial Operations,0.0466,0.8846153846153847,0.7307692307692308,0.8380153846153847,0.05267826086956521,0.9473217391304348,82080,64870,4,4.323333333333333,4.385,1.782,3.953333333333333,3.645,11.315461843566249,11.080140546207101,0.7435457492554519,1.034228530916763,-1.1000495702634683,0.14590462850035327,-0.42461481180127303,4,82080
13-1071,Human Resources Specialists,13,Business and Financial Operations,0.4034,0.9555555555555556,0.8,0.5521555555555556,0.4221627906976744,0.5778372093023256,740830,70720,4,3.393333333333334,4.012499999999999,1.514,4.186666666666667,4.42,13.515527808090829,11.166483697311525,-0.2348691946227473,0.18001567846249633,-1.361732689654546,0.6921518643636064,0.9528402961370132,4,740830
13-1032,"Insurance Appraisers, Auto Damage",13,Business and Financial Operations,0,1,0.8571428571428571,1,0,1,11430,68180,3,3.9416666666666664,4.2,2.59,4.576666666666667,4.34,9.344084242025778,11.129906545691894,0.3420098672695955,0.6099885907716924,-0.31109449389036786,1.6051651014493251,0.8106513817691899,3,11430
13-2053,Insurance Underwriters,13,Business and Financial Operations,0.0625,1,0.8571428571428571,0.9375,0.0625,0.9375,107690,79940,4,4.028333333333333,3.88,1.166,4.176666666666667,4.25,11.587021294193082,11.289031632265315,0.4331883208209692,-0.12383184623599942,-1.7015301730429608,0.6687412685408941,0.6506888531053892,4,107690
13-1075,Labor Relations Specialists,13,Business and Financial Operations,0,0.9245283018867924,0.7735849056603773,0.9245283018867924,0,1,63810,77070,4,4.11,3.7150000000000007,1.418,3.93,4.17,11.063680868264434,11.25246937877204,0.5191064789751484,-0.5022080090680883,-1.4554699264513502,0.09127990491402899,0.5084999387375659,4,63810
13-2072,Loan Officers,13,Business and Financial Operations,0.1857,0.9772727272727272,0.9545454545454546,0.7915727272727272,0.19001860465116285,0.8099813953488372,340170,80570,4,4.1866666666666665,4.3525,1.492,4.573333333333333,4.555,12.737203711336292,11.296881650771242,0.5997643417321321,0.9596998927831699,-1.3832141397538138,1.5973615695084202,1.1927840891327142,4,340170
13-1081,Logisticians,13,Business and Financial Operations,0.1571,0.9696969696969696,0.8425566489121602,0.8125969696969697,0.16200937499999998,0.837990625,189320,79230,4,4.475,3.9133333333333336,2.0193333333333334,3.7744444444444447,4.068333333333333,12.151199266068351,11.280110293959288,0.9031080429703552,-0.04739221738103084,-0.8683102904047026,-0.2728849189948047,0.3278015267284576,4,189320
13-1111,Management Analysts,13,Business and Financial Operations,0.2435,0.7142857142857142,0.8095238095238095,0.4707857142857142,0.34090000000000004,0.6591,768450,100530,4,4.993333333333334,3.865,1.7100000000000002,3.996666666666666,4.3,13.552132079355452,11.518211469399466,1.4484253324795322,-0.15822967922073422,-1.170352497861071,0.24735054373209908,0.7395569245852783,4,768450
13-1161,Market Research Analysts and Marketing Specialists,13,Business and Financial Operations,0.6483,1,0.9615384615384616,0.3517,0.6483,0.3517,727540,76080,4,4.8,3.3274999999999997,1.0530000000000002,3.813333333333333,3.785,13.497425633828083,11.239540697219272,1.2450272437880059,-1.3908186945070917,-1.8118667121891987,-0.18184371301759758,-0.17578421165758237,4,727540
13-1121,"Meeting, Convention, and Event Planners",13,Business and Financial Operations,0.1023,0.8648648648648649,0.6486486486486487,0.7625648648648649,0.118284375,0.881715625,98150,57850,4,3.963333333333333,4.5975,3.124,4.446666666666666,3.42,11.494262388139715,10.965608732621822,0.36480448065743865,1.5215311648671839,0.2103188857918548,1.3008273557540835,-0.8245211334607757,4,98150
13-2052,Personal Financial Advisors,13,Business and Financial Operations,0.3504,0.9473684210526316,0.9473684210526316,0.5969684210526316,0.3698666666666666,0.6301333333333334,263030,119960,4,4.868333333333333,3.5824999999999996,0.876,4.103333333333334,4.52,12.480027174936128,11.694913632862946,1.3169179475496657,-0.8060555337665881,-1.9846947425333064,0.4970635658410175,1.1305764390967914,4,263030
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13,Business and Financial Operations,0.0275,0.967741935483871,0.9032258064516128,0.940241935483871,0.02841666666666666,0.9715833333333334,52270,63200,3,3.94,4.0575,1.452,4.123333333333334,4.825,10.864197002956908,11.054059580134949,0.3402564354705308,0.28320917741670476,-1.4222713217524823,0.543884757486438,1.672671675124118,3,52270
13-2082,Tax Preparers,13,Business and Financial Operations,0.1283,1,1,0.8717,0.1283,0.8717,83190,51080,3,4.706666666666666,3.5925,1.3239999999999998,3.73,4.925000000000001,11.328894447881247,10.841148310146476,1.1468350630403725,-0.7831236451100972,-1.547254304148221,-0.3769320115401865,1.8504078180838979,3,83190
13-1151,Training and Development Specialists,13,Business and Financial Operations,0.2793,1,0.763157894736842,0.7207,0.2793,0.7207,336030,67620,4,4.326666666666667,3.87,1.888,3.5233333333333334,3.455,12.724958696594236,11.121659076261876,0.7470526128535822,-0.14676373489248928,-0.9965480379669973,-0.8607509918762085,-0.7623134834248528,4,336030
15-2011,Actuaries,15,Computer and Mathematical,0.053900000000000003,1,0.8518518518518519,0.9461,0.053900000000000003,0.9461,23040,125300,4,5.216666666666667,3.38,0.934,3.633333333333333,4.59,10.045030516645731,11.73846614088416,1.6833851935542248,-1.270426279060517,-1.9280618286352371,-0.6032344378263915,1.2549917391686372,4,23040
15-1241,Computer Network Architects,15,Computer and Mathematical,0.1987,0.915558510638298,0.8573803191489362,0.7168585106382979,0.21702599854756716,0.7829740014524329,168830,120650,4,4.551666666666667,3.8199999999999994,2.398,3.641666666666667,4.3125,12.036653493571627,11.700649071053178,0.9837659057273399,-0.26142317817494265,-0.49856896748397567,-0.5837256079741305,0.761773942455251,4,168830
15-1231,Computer Network Support Specialists,15,Computer and Mathematical,0.2867,0.8076923076923077,0.8461538461538463,0.5209923076923078,0.35496190476190476,0.6450380952380952,176200,71350,4,3.9,4.0575,2.356,3.85,3.995,12.079380667837011,11.175352622904983,0.29817407229297377,0.28320917741670476,-0.5395790085825777,-0.0960048616676572,0.1974616885579532,4,176200
15-1299,"Computer Occupations, All Other",15,Computer and Mathematical,0.3106,0.994949494949495,0.9165429447043542,0.684349494949495,0.31217664974619286,0.6878233502538071,370190,98180,4,4.720555555555555,3.53375,1.7553333333333334,3.68,4.2675,12.821774367642869,11.494557807612043,1.161446994699247,-0.9178484909669776,-1.1260876915959137,-0.49398499065373985,0.6817926781233505,4,370190
15-1251,Computer Programmers,15,Computer and Mathematical,0.7451,1,0.9333333333333332,0.2549,0.7451,0.2549,152610,96650,4,5.026666666666667,3.3925,1.2080000000000002,2.966666666666667,4.1,11.935647479114,11.478851484636477,1.4834939684608297,-1.2417614182399035,-1.6605201319443588,-2.163940826007107,0.3840846386657202,4,152610
15-1211,Computer Systems Analysts,15,Computer and Mathematical,0.2763,0.9407308377896612,0.8663101604278075,0.6644308377896613,0.2937078162008527,0.7062921837991474,505150,102210,4,4.706666666666667,3.72,1.883,3.688333333333334,4.6075,13.132612673463935,11.534784799323122,1.1468350630403734,-0.49074206473984433,-1.0014301857168306,-0.4744761608014799,1.2860955641865985,4,505150
15-1232,Computer User Support Specialists,15,Computer and Mathematical,0.4685,0.7777777777777777,0.8518518518518519,0.30927777777777765,0.6023571428571429,0.3976428571428571,654310,57650,3,4.471666666666667,3.4800000000000004,2.29,3.963333333333334,3.815,13.391338052576515,10.962145525697204,0.8996011793722258,-1.0411073924956122,-0.6040233588803803,0.16931522432306562,-0.12246336876964907,3,654310
15-1221,Computer and Information Research Scientists,15,Computer and Mathematical,0.3404,0.8846153846153847,0.7692307692307693,0.5442153846153848,0.3847999999999999,0.6152000000000001,30840,142650,5,5.668333333333333,3.7725,1.416,3.5399999999999996,4.1850000000000005,10.336600252573104,11.868149356641647,2.158565211100805,-0.3703496492932705,-1.4574227855512838,-0.8217333321716918,0.5351603601815338,5,30840
15-2051,Data Scientists,15,Computer and Mathematical,0.4605,1,0.8756313131313131,0.5395,0.4605,0.5395,105980,108660,4,5.033333333333334,3.28625,0.965,3.485,4.3475,11.57101511174483,11.595979020105514,1.4905076956570893,-1.4854127352151139,-1.8977925125862694,-0.9504916091966003,0.8239815924911739,4,105980
15-1242,Database Administrators,15,Computer and Mathematical,0.3315,1,0.9032258064516128,0.6685,0.3315,0.6685,85870,96550,4,4.955000000000001,2.96,1.388,3.896666666666667,4.48,11.360601449109378,11.47781628785666,1.4080964011010404,-2.2335656026331114,-1.4847628129503516,0.013244585504993422,1.0594819819128813,4,85870
15-1243,Database Architects,15,Computer and Mathematical,0.5787,1,0.975609756097561,0.4213,0.5787,0.4213,50440,121840,4,5.198333333333333,3.19625,0.944,3.56,4.2975,10.828559615417621,11.710463987569044,1.664097443764511,-1.6917997331235268,-1.91829753313557,-0.7749121405262692,0.7351135210112847,4,50440
15-1212,Information Security Analysts,15,Computer and Mathematical,0.4859,0.9565217391304348,1,0.4706217391304348,0.5079863636363636,0.4920136363636364,157220,113270,4,4.76,3.68,1.9259999999999995,3.606666666666667,4.625,11.96540773784145,11.637529628194759,1.2029448806104488,-0.5824696193658058,-0.9594437150682628,-0.6656626933536185,1.31719938920456,4,157220
15-2099,"Mathematical Science Occupations, All Other",15,Computer and Mathematical,0.4793,0.9666666666666668,0.9666666666666668,0.4873666666666668,0.4958275862068965,0.5041724137931035,3970,77960,4,5.665,3.5749999999999997,1.372,3.203333333333333,4.05,8.286773231131251,11.263951153621496,2.155058347502676,-0.8232544502589555,-1.5003856857498188,-1.6098900582029534,0.29521656718583106,4,3970
15-2021,Mathematicians,15,Computer and Mathematical,0.4241,1,1,0.5759000000000001,0.4241,0.5759000000000001,1770,112430,5,5.416666666666667,3.0275,1.2399999999999998,3.15,3.5999999999999996,7.479299637782834,11.630086084743805,1.89379700944201,-2.078775354201802,-1.6292743863454247,-1.7347465692574104,-0.5045960761331741,5,1770
15-1244,Network and Computer Systems Administrators,15,Computer and Mathematical,0.3373,0.918918918918919,0.8648648648648649,0.5816189189189189,0.3670617647058823,0.6329382352941177,316760,91250,4,4.406666666666667,3.48,2.136,3.486666666666667,3.695,12.665902825283629,11.421358271444738,0.8312173392086962,-1.0411073924956131,-0.7543935095752533,-0.9465898432261478,-0.3357467403213839,4,316760
15-2031,Operations Research Analysts,15,Computer and Mathematical,0.4288,1,1,0.5711999999999999,0.4288,0.5711999999999999,98700,95830,5,5.338333333333334,3.155,1.322,3.41,3.715,11.499850357082506,11.470331067337808,1.8113857148859611,-1.78639377383155,-1.549207163248154,-1.1260710778669303,-0.3001995117294281,5,98700
15-1252,Software Developers,15,Computer and Mathematical,0.288,0.9473684210526316,0.8421052631578947,0.6593684210526316,0.30399999999999994,0.6960000000000001,1364180,120990,4,4.361666666666667,2.63,1.026,3.0799999999999996,4.34,14.126064806529165,11.703463176535523,0.7838746806339447,-2.9903179282972934,-1.8382303100383,-1.8986207400163864,0.8106513817691899,4,1364180
15-1253,Software Quality Assurance Analysts and Testers,15,Computer and Mathematical,0.5195,0.9473684210526316,0.912280701754386,0.4278684210526317,0.5483611111111111,0.4516388888888889,190120,97710,4,4.704999999999999,3.4750000000000005,1.1720000000000002,3.56,4.545,12.155415990550006,11.48975918693839,1.1450816312413075,-1.0525733368238572,-1.6956715957431603,-0.7749121405262692,1.1750104748367367,4,190120
